id,vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,dist_km,speed_km,banderazo,tarifa_dist,tarifa_tiempo,tarifa_min,costo_viaje_sin_min,costo_viaje_sobre_min,municipios_origen,municipios_destino
110,Taxi Libre,21/04/2017 11:41,21/04/2017 11:53,-99.06453748,19.334737,-99.07632236,19.2991828,0.199444444,6278,92,6.278,31.47743733,8.74,1.07,1.07,8.74,37.79739556,37.79739556,Iztapalapa,Iztapalapa
111,Taxi Libre,21/04/2017 12:04,21/04/2017 12:21,-99.03742346,19.59552058,-99.0019219,19.60335552,0.2825,7194,55,7.194,25.46548673,8.74,1.07,1.07,8.74,40.83809778,40.83809778,Ecatepec de Morelos,Ecatepec de Morelos
112,Taxi Libre,21/04/2017 01:23,21/04/2017 01:32,-99.1402117,19.3023333,-99.13419498,19.299925,0.151666667,1504,240,1.504,9.916483516,8.74,1.07,1.07,8.74,20.88378667,20.88378667,Coyoac·n,Tlalpan
114,Taxi de Sitio,21/04/2017 01:55,21/04/2017 02:10,-99.19751932,19.51477966,-99.18873334,19.49031132,0.265277778,4010,393,4.01,15.11623037,13.1,1.3,1.3,13.1,45.30533333,45.30533333,Tlalnepantla de Baz,Azcapotzalco
115,Taxi Libre,21/04/2017 02:05,21/04/2017 02:41,-99.14022853,19.30234981,-99.15310134,19.35490968,0.608611111,9459,801,9.459,15.54194432,8.74,1.07,1.07,8.74,68.27052,68.27052,Coyoac·n,Coyoac·n
116,Taxi Libre,21/04/2017 03:10,21/04/2017 03:26,-99.14016,19.30228,-99.12392734,19.29231468,0.257222222,2394,489,2.394,9.30712743,8.74,1.07,1.07,8.74,30.61365333,30.61365333,Coyoac·n,Tlalpan
117,Taxi Libre,21/04/2017 03:47,21/04/2017 03:53,-99.1400533,19.3023083,-99.13711332,19.293907,0.099166667,1379,137,1.379,13.90588235,8.74,1.07,1.07,8.74,17.89967556,17.89967556,Tlalpan,Tlalpan
120,Taxi Libre,21/04/2017 03:53,21/04/2017 04:14,-99.1370517,19.2939133,-99.16594888,19.29086309,0.349166667,6488,341,6.488,18.58138425,8.74,1.07,1.07,8.74,44.61686222,44.61686222,Tlalpan,Tlalpan
121,Taxi Libre,21/04/2017 04:10,21/04/2017 04:17,-99.16358926,19.42175522,-99.16599325,19.41372722,0.1125,993,217,0.993,8.826666667,8.74,1.07,1.07,8.74,18.14981778,18.14981778,CuauhtÈmoc,CuauhtÈmoc
122,Radio Taxi,21/04/2017 04:13,21/04/2017 04:49,-99.24214366,19.44891784,-99.16791649,19.42433884,0.5925,10256,1133,10.256,17.30970464,27.6,1.84,1.84,27.6,149.4112711,149.4112711,Naucalpan de Ju·rez,CuauhtÈmoc
124,Radio Taxi,21/04/2017 05:25,21/04/2017 06:22,-99.1723605,19.41178794,-99.08961372,19.44493947,0.944166667,10918,121,10.918,11.56363636,27.6,1.84,1.84,27.6,112.9040356,112.9040356,CuauhtÈmoc,Venustiano Carranza
